error_count	group	error_type	condition	subj
5	1	1	1	1
13	1	1	2	1
2	1	2	1	1
3	1	2	2	1
15	1	1	1	2
2	1	1	2	2
4	1	2	1	2
3	1	2	2	2
6	1	1	1	3
2	1	1	2	3
2	1	2	1	3
5	1	2	2	3
5	1	1	1	4
4	1	1	2	4
0	1	2	1	4
2	1	2	2	4
17	1	1	1	5
24	1	1	2	5
16	1	2	1	5
18	1	2	2	5
0	1	1	1	6
4	1	1	2	6
1	1	2	1	6
0	1	2	2	6
20	1	1	1	7
16	1	1	2	7
14	1	2	1	7
10	1	2	2	7
13	1	1	1	8
12	1	1	2	8
4	1	2	1	8
9	1	2	2	8
2	1	1	1	9
1	1	1	2	9
2	1	2	1	9
1	1	2	2	9
6	1	1	1	10
10	1	1	2	10
0	1	2	1	10
3	1	2	2	10
3	1	1	1	11
1	1	1	2	11
4	1	2	1	11
1	1	2	2	11
3	1	1	1	12
2	1	1	2	12
0	1	2	1	12
0	1	2	2	12
8	1	1	1	13
2	1	1	2	13
1	1	2	1	13
1	1	2	2	13
3	1	1	1	14
9	1	1	2	14
1	1	2	1	14
0	1	2	2	14
2	1	1	1	15
2	1	1	2	15
0	1	2	1	15
1	1	2	2	15
11	1	1	1	16
20	1	1	2	16
7	1	2	1	16
12	1	2	2	16
20	1	1	1	17
26	1	1	2	17
16	1	2	1	17
20	1	2	2	17
7	2	1	1	18
5	2	1	2	18
1	2	2	1	18
2	2	2	2	18
2	2	1	1	19
6	2	1	2	19
0	2	2	1	19
3	2	2	2	19
8	2	1	1	20
4	2	1	2	20
2	2	2	1	20
0	2	2	2	20
10	2	1	1	21
15	2	1	2	21
1	2	2	1	21
8	2	2	2	21
4	2	1	1	22
4	2	1	2	22
2	2	2	1	22
0	2	2	2	22
4	2	1	1	23
2	2	1	2	23
0	2	2	1	23
0	2	2	2	23
9	2	1	1	24
2	2	1	2	24
2	2	2	1	24
1	2	2	2	24
14	2	1	1	25
12	2	1	2	25
4	2	2	1	25
4	2	2	2	25
3	2	1	1	26
4	2	1	2	26
0	2	2	1	26
1	2	2	2	26
7	2	1	1	27
4	2	1	2	27
6	2	2	1	27
0	2	2	2	27
5	2	1	1	28
4	2	1	2	28
1	2	2	1	28
1	2	2	2	28
8	2	1	1	29
6	2	1	2	29
3	2	2	1	29
2	2	2	2	29
15	2	1	1	30
5	2	1	2	30
5	2	2	1	30
4	2	2	2	30
2	2	1	1	31
6	2	1	2	31
2	2	2	1	31
1	2	2	2	31
7	2	1	1	32
7	2	1	2	32
4	2	2	1	32
1	2	2	2	32
17	2	1	1	33
17	2	1	2	33
18	2	2	1	33
15	2	2	2	33
6	2	1	1	34
0	2	1	2	34
1	2	2	1	34
1	2	2	2	34
