ID,group,condition,meanERP
3,1,1,NaN
4,1,1,NaN
5,1,1,NaN
6,1,1,NaN
7,1,1,NaN
8,1,1,NaN
10,1,1,NaN
13,1,1,NaN
14,1,1,NaN
16,1,1,NaN
18,1,1,NaN
19,1,1,NaN
20,1,1,NaN
21,1,1,NaN
22,1,1,NaN
23,1,1,NaN
24,1,1,NaN
42,1,1,NaN
44,1,1,NaN
3,1,2,NaN
4,1,2,NaN
5,1,2,NaN
6,1,2,NaN
7,1,2,NaN
8,1,2,NaN
10,1,2,NaN
13,1,2,NaN
14,1,2,NaN
16,1,2,NaN
18,1,2,NaN
19,1,2,NaN
20,1,2,NaN
21,1,2,NaN
22,1,2,NaN
23,1,2,NaN
24,1,2,NaN
42,1,2,NaN
44,1,2,NaN
45,2,1,NaN
41,2,1,NaN
38,2,1,NaN
50,2,1,NaN
9,2,1,NaN
27,2,1,NaN
47,2,1,NaN
36,2,1,NaN
32,2,1,NaN
43,2,1,NaN
48,2,1,NaN
28,2,1,NaN
35,2,1,NaN
37,2,1,NaN
29,2,1,NaN
49,2,1,NaN
2,2,1,NaN
30,2,1,NaN
46,2,1,NaN
39,2,1,NaN
45,2,2,NaN
41,2,2,NaN
38,2,2,NaN
50,2,2,NaN
9,2,2,NaN
27,2,2,NaN
47,2,2,NaN
36,2,2,NaN
32,2,2,NaN
43,2,2,NaN
48,2,2,NaN
28,2,2,NaN
35,2,2,NaN
37,2,2,NaN
29,2,2,NaN
49,2,2,NaN
2,2,2,NaN
30,2,2,NaN
46,2,2,NaN
39,2,2,NaN
