ID,group,condition,meanERP
3,1,1,5.54124402999878
4,1,1,2.66150379180908
5,1,1,4.79554033279419
6,1,1,4.46831083297729
7,1,1,3.01919269561768
8,1,1,3.85450196266174
10,1,1,0.26583793759346
13,1,1,6.13057708740234
14,1,1,1.78377258777618
16,1,1,3.09329867362976
18,1,1,1.81850028038025
19,1,1,5.98060369491577
20,1,1,1.21927070617676
21,1,1,7.44183254241943
22,1,1,3.72519659996033
23,1,1,2.03771758079529
24,1,1,2.57967066764832
42,1,1,5.42628192901611
44,1,1,1.08961057662964
3,1,2,1.48862183094025
4,1,2,3.52320599555969
5,1,2,0.802315771579742
6,1,2,5.35029745101929
7,1,2,0.807823836803436
8,1,2,6.73816585540771
10,1,2,1.36021053791046
13,1,2,1.3766850233078
14,1,2,-0.520435631275177
16,1,2,2.11477327346802
18,1,2,1.71644222736359
19,1,2,-1.07238221168518
20,1,2,3.45529174804688
21,1,2,5.6061749458313
22,1,2,2.59772872924805
23,1,2,1.45470654964447
24,1,2,-1.05083823204041
42,1,2,7.00324249267578
44,1,2,0.90902316570282
45,2,1,6.87662172317505
41,2,1,-0.303600579500198
38,2,1,2.66065382957458
50,2,1,5.64239931106567
9,2,1,1.70271861553192
27,2,1,1.98268818855286
47,2,1,-0.207256183028221
36,2,1,3.27932024002075
32,2,1,2.74901485443115
43,2,1,0.731245994567871
48,2,1,2.06542801856995
28,2,1,2.08208346366882
35,2,1,1.1621218919754
37,2,1,2.60723304748535
29,2,1,-0.756039619445801
49,2,1,0.795810997486115
2,2,1,0.755099236965179
30,2,1,6.20800590515137
46,2,1,1.87106120586395
39,2,1,2.70973920822144
45,2,2,1.10641837120056
41,2,2,-0.488146394491196
38,2,2,-4.67849826812744
50,2,2,7.02076005935669
9,2,2,1.78285980224609
27,2,2,1.49950051307678
47,2,2,0.440490990877151
36,2,2,3.08801984786987
32,2,2,2.88768219947815
43,2,2,2.3364109992981
48,2,2,2.24778914451599
28,2,2,2.17262315750122
35,2,2,-5.59287071228027
37,2,2,-1.62311792373657
29,2,2,2.6794421672821
49,2,2,1.38181447982788
2,2,2,-0.127574324607849
30,2,2,9.50409412384033
46,2,2,-2.14361977577209
39,2,2,1.78904497623444
